pair_id,review_order,word,pos,material_labels,source_sense_id_a,definition_a,labels_a,examples_a,source_sense_id_b,definition_b,labels_b,examples_b,decision,review_notes
break:verb:f8dfda58f7a7:5eab63d23a15ca64,11,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:0d61d60e61e36081d95453ef:1:sense,To change a steady state abruptly. | To end.,intransitive;transitive,"{""bold_text_offsets"": [[39, 44]], ""text"": ""The forecast says the hot weather will break by midweek."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:a4df20fb3f7fa952fea4471c:1:sense,To change a steady state abruptly. | To begin or end.,intransitive;transitive,"{""bold_text_offsets"": [[40, 45]], ""text"": ""We ran to find shelter before the storm broke."", ""type"": ""example""} | {""bold_text_offsets"": [[24, 29]], ""text"": ""Around midday the storm broke, and the afternoon was calm and sunny."", ""type"": ""example""}",UNCERTAIN,"One sense says 'end'; the other says 'begin or end'. Overlap is strong, but the added beginning meaning may warrant separation."
break:verb:f8dfda58f7a7:62bfbc97b00e55f6,12,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:344367fe36d07159f0c46557:1:sense,To change a steady state abruptly. | To make by forcing one's way through.,transitive,"{""bold_text_offsets"": [[13, 18]], ""text"": ""It's time to break a trail through the park."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:a523e8f6357eeb03f71f2447:1:sense,To change a steady state abruptly. | To force one's way through.,transitive,"{""bold_text_offsets"": [[14, 19]], ""text"": ""Her promotion broke America's racial barriers."", ""type"": ""example""}",MERGE,Same learner concept: forcing a way through; one phrasing emphasizes the result made.
break:verb:f8dfda58f7a7:70c65848faabf0e3,13,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:e0bbea49dba7fc1848d1f410:1:sense,To cause (a person or animal) to lose spirit or will; to crush the spirits of.,transitive,"{""bold_text_offsets"": [[18, 23]], ""text"": ""Her child’s death broke Angela."", ""type"": ""example""} | {""bold_text_offsets"": [[49, 54]], ""text"": ""Interrogators have used many forms of torture to break prisoners of war."", ""type"": ""example""} | {""bold_text_offsets"": [[26, 31]], ""text"": ""The interrogator hoped to break her to get her testimony against her accomplices."", ""type"": ""example""} | {""bold_text_offsets"": [[106, 114]], ""ref"": ""1611, The Holy Bible, […] (King James Version), London: […] Robert Barker, […], →OCLC, Job 9:16–17:"", ""text"": ""If I had called, and had answered me, yet would I not beleeue that he had hearkened vnto my voice: For he breaketh me with a tempest, and multiplieth my wounds without cause."", ""type"": ""quotation""} | {""bold_text_offsets"": [[12, 18]], ""ref"": ""1613 (date written), William Shakespeare, [John Fletcher], “The Famous History of the Life of King Henry the Eight”, in Mr. William Shakespeares Comedies, Histories, & Tragedies […] (First Folio), London: […] Isaac Iaggard, and Ed[ward] Blount, published 1623, →OCLC, [Act IV, scene ii]:"", ""text"": ""An old man, broken with the storms of state,\nIs come to lay his weary bones among ye;\nGive him a little earth for charity"", ""type"": ""quotation""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:e9c85675db3f88df491f4c27:1:sense,To cause (a person or animal) to lose spirit or will; to crush the spirits of. | To turn an animal into a beast of burden.,transitive,"{""bold_text_offsets"": [[44, 50]], ""ref"": ""2002, John Fusco, Spirit: Stallion of the Cimarron:"", ""text"": ""Colonel: See, gentlemen? Any horse could be broken."", ""type"": ""quotation""} | {""bold_text_offsets"": [[12, 17]], ""text"": ""You have to break an elephant before you can use it as an animal of burden."", ""type"": ""example""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:710b034e5dd77909,14,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:a4df20fb3f7fa952fea4471c:1:sense,To change a steady state abruptly. | To begin or end.,intransitive;transitive,"{""bold_text_offsets"": [[40, 45]], ""text"": ""We ran to find shelter before the storm broke."", ""type"": ""example""} | {""bold_text_offsets"": [[24, 29]], ""text"": ""Around midday the storm broke, and the afternoon was calm and sunny."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:df77e647d455eef56ac340e9:1:sense,To change a steady state abruptly. | To end a fever. | To successfully treat or resist (a fever).,transitive,"{""bold_text_offsets"": [[14, 19]], ""text"": ""The treatment broke my fever."", ""type"": ""example""} | {""bold_text_offsets"": [[5, 10]], ""text"": ""Carl broke his fever this morning."", ""type"": ""example""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:a3993574a8c3c46c,15,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:0d61d60e61e36081d95453ef:1:sense,To change a steady state abruptly. | To end.,intransitive;transitive,"{""bold_text_offsets"": [[39, 44]], ""text"": ""The forecast says the hot weather will break by midweek."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:db3797dceecdf3b9f81a1175:1:sense,To change a steady state abruptly.,transitive,"{""bold_text_offsets"": [[13, 18]], ""text"": ""His coughing broke the silence."", ""type"": ""example""} | {""bold_text_offsets"": [[26, 31]], ""text"": ""His turning on the lights broke the enchantment."", ""type"": ""example""} | {""bold_text_offsets"": [[14, 20]], ""text"": ""With the mood broken, what we had been doing seemed pretty silly."", ""type"": ""example""}",UNCERTAIN,Generic abrupt state change versus the narrower 'end' use. Learner-level grouping is defensible either way.
break:verb:f8dfda58f7a7:a5816afd386e9397,16,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:bb644c12147496009737dca6:1:sense,"To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly. | To change the orderliness or compactness of an arrangement.",ergative;intransitive;transitive,"{""bold_text_offsets"": [[12, 17]], ""text"": ""The soldier broke formation."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:e01926b5b98f3ab42f60dd0f:1:sense,"To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly.",ergative;intransitive;transitive,"{""bold_text_offsets"": [[41, 46]], ""text"": ""If the vase falls to the floor, it might break."", ""type"": ""example""} | {""bold_text_offsets"": [[49, 54]], ""text"": ""In order to tend to the accident victim, he will break the window of the car."", ""type"": ""example""} | {""bold_text_offsets"": [[167, 172]], ""ref"": ""2012 May 8, Yotam Ottolenghi, Sami Tamimi, Ottolenghi: The Cookbook, Random House, →ISBN, page 79:"", ""text"": ""First, marinate the tofu. In a bowl, whisk the kecap manis, chilli sauce, and sesame oil together. Cut the tofu into strips about 1cm thick, mix gently (so it doesn't break) with the marinade and leave in the fridge for half an hour."", ""type"": ""quotation""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:aac97fe4d561e3b8,17,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:db3797dceecdf3b9f81a1175:1:sense,To change a steady state abruptly.,transitive,"{""bold_text_offsets"": [[13, 18]], ""text"": ""His coughing broke the silence."", ""type"": ""example""} | {""bold_text_offsets"": [[26, 31]], ""text"": ""His turning on the lights broke the enchantment."", ""type"": ""example""} | {""bold_text_offsets"": [[14, 20]], ""text"": ""With the mood broken, what we had been doing seemed pretty silly."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:e7bf4afad04d8bd0f080669a:1:sense,To change a steady state abruptly. | To arrive.,intransitive;transitive,"{""bold_text_offsets"": [[12, 18]], ""text"": ""Morning has broken."", ""type"": ""example""} | {""bold_text_offsets"": [[8, 13]], ""text"": ""The day broke crisp and clear."", ""type"": ""example""} | {""bold_text_offsets"": [[18, 23]], ""ref"": ""1591 (date written), William Shakespeare, “The First Part of Henry the Sixt”, in Mr. William Shakespeares Comedies, Histories, & Tragedies […] (First Folio), London: […] Isaac Iaggard, and Ed[ward] Blount, published 1623, →OCLC, [Act II, scene ii]:"", ""text"": ""The day begins to break, and night is fled."", ""type"": ""quotation""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:b78dcdc58903a0bb,18,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:07a144c2b04a076f9e3e3287:1:sense,"To stop, or to cause to stop, functioning properly or altogether. | To prove a falsity.",intransitive;transitive,"{""bold_text_offsets"": [[20, 25]], ""text"": ""The detectives will break her alibi."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:6eeb83a230cd42a1867eff38:1:sense,"To stop, or to cause to stop, functioning properly or altogether.",intransitive;transitive,"{""bold_text_offsets"": [[48, 53]], ""text"": ""On the hottest day of the year the refrigerator broke."", ""type"": ""example""} | {""bold_text_offsets"": [[12, 17]], ""text"": ""Did you two break the trolley by racing with it?"", ""type"": ""example""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:cd991986d739e8c6,19,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:7099a90c2791c9f3398613bb:1:sense,To change a steady state abruptly. | To counter-attack.,intransitive;transitive,"{""bold_text_offsets"": [[58, 63]], ""ref"": ""2010 December 28, Kevin Darlin, “West Brom 1 - 3 Blackburn”, in BBC:"", ""text"": ""The Baggies almost hit back instantly when Graham Dorrans broke from midfield and pulled the trigger from 15 yards but Paul Robinson did superbly to tip the Scot's drive around the post."", ""type"": ""quotation""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:b63b3b2cb20b026bca9c909d:1:sense,To change a steady state abruptly. | To solve a code or case.,transitive,"{""bold_text_offsets"": [[10, 15]], ""text"": ""That news broke the case wide open."", ""type"": ""example""} | {""bold_text_offsets"": [[15, 20]], ""text"": ""The detectives broke the Hamptons murder."", ""type"": ""example""} | {""bold_text_offsets"": [[14, 19]], ""text"": ""It's vital we break the code."", ""type"": ""example""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:d62b2171b7987398,20,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:3bba59c0d39364b37d757651:1:sense,"To stop, or to cause to stop, functioning properly or altogether. | To surpass or do better than (a specific number); to do better than (a record), setting a new record. | To do better than a specified value.",intransitive;transitive,"{""bold_text_offsets"": [[15, 20]], ""text"": ""He's hoping to break 90."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:f51b0248218de73b255c1ab9:1:sense,"To stop, or to cause to stop, functioning properly or altogether. | To surpass or do better than (a specific number); to do better than (a record), setting a new record.",intransitive;transitive,"{""bold_text_offsets"": [[3, 8]], ""text"": ""He broke the men's 100-meter record."", ""type"": ""example""} | {""bold_text_offsets"": [[20, 25]], ""text"": ""I can't believe she broke 3 under par!"", ""type"": ""example""} | {""bold_text_offsets"": [[14, 19]], ""text"": ""The policeman broke sixty on a residential street in his hurry to catch the thief."", ""type"": ""example""}",MERGE,Same learner meaning: surpass a record/value; added wording is a near-paraphrase.
break:verb:f8dfda58f7a7:eb6d8e1adeea8808,21,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:b63b3b2cb20b026bca9c909d:1:sense,To change a steady state abruptly. | To solve a code or case.,transitive,"{""bold_text_offsets"": [[10, 15]], ""text"": ""That news broke the case wide open."", ""type"": ""example""} | {""bold_text_offsets"": [[15, 20]], ""text"": ""The detectives broke the Hamptons murder."", ""type"": ""example""} | {""bold_text_offsets"": [[14, 19]], ""text"": ""It's vital we break the code."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:e7bf4afad04d8bd0f080669a:1:sense,To change a steady state abruptly. | To arrive.,intransitive;transitive,"{""bold_text_offsets"": [[12, 18]], ""text"": ""Morning has broken."", ""type"": ""example""} | {""bold_text_offsets"": [[8, 13]], ""text"": ""The day broke crisp and clear."", ""type"": ""example""} | {""bold_text_offsets"": [[18, 23]], ""ref"": ""1591 (date written), William Shakespeare, “The First Part of Henry the Sixt”, in Mr. William Shakespeares Comedies, Histories, & Tragedies […] (First Folio), London: […] Isaac Iaggard, and Ed[ward] Blount, published 1623, →OCLC, [Act II, scene ii]:"", ""text"": ""The day begins to break, and night is fled."", ""type"": ""quotation""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:feb550dc19fd99d1,22,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:0d61d60e61e36081d95453ef:1:sense,To change a steady state abruptly. | To end.,intransitive;transitive,"{""bold_text_offsets"": [[39, 44]], ""text"": ""The forecast says the hot weather will break by midweek."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:df77e647d455eef56ac340e9:1:sense,To change a steady state abruptly. | To end a fever. | To successfully treat or resist (a fever).,transitive,"{""bold_text_offsets"": [[14, 19]], ""text"": ""The treatment broke my fever."", ""type"": ""example""} | {""bold_text_offsets"": [[5, 10]], ""text"": ""Carl broke his fever this morning."", ""type"": ""example""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
charge:noun:8b49b912413a:5a79e6778413c507,23,charge,noun,,WIK:wiktionary-20260901:m004.3-v1:en:511b5dea4d546d375ef9e28d:content:473d99515573accb661aea34:1:sense,An electric charge.,countable;uncountable,,WIK:wiktionary-20260901:m004.3-v1:en:619a6106334faac734a6d9c2:content:71bd2b0711fd89b95dab5391:1:sense,Ellipsis of CHARGE syndrome.,abbreviation;alt-of;ellipsis;uncountable,,KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
charge:noun:8b49b912413a:c1f8d19006ac7ddf,24,charge,noun,,WIK:wiktionary-20260901:m004.3-v1:en:511b5dea4d546d375ef9e28d:['en:accusation']:1a485fbee79f09d21bf5269f:1:sense,An accusation. | An official description (by the police or a court) of a crime that somebody may be guilty of.,countable;uncountable,"{""bold_text_offsets"": [[4, 11]], ""text"": ""two charges of manslaughter"", ""type"": ""example""} | {""bold_text_offsets"": [[97, 103]], ""ref"": ""2006, Noire [pseudonym], Thug-A-Licious: An Urban Erotic Tale, New York, N.Y.: One World, Ballantine Books, →ISBN, page 108:"", ""text"": ""\""Ain't gone be no Rikers Island for you next time,\"" I warned him. \""You get tapped on another gun charge and you looking at some upstate time.\"""", ""type"": ""quotation""}",WIK:wiktionary-20260901:m004.3-v1:en:511b5dea4d546d375ef9e28d:['en:accusation']:5f3c2270ce89c270d1bc68e2:1:sense,An accusation. | An accusation by a person or organization.,countable;uncountable,"{""bold_text_offsets"": [[20, 26]], ""text"": ""That's a slanderous charge of abuse of trust."", ""type"": ""example""} | {""bold_text_offsets"": [[56, 62]], ""ref"": ""2005, Plato, translated by Lesley Brown, Sophist, page 261a:"", ""text"": ""we'll nail the sophist to it, if we can get him on that charge;"", ""type"": ""quotation""} | {""bold_text_offsets"": [[2, 8]], ""ref"": ""2006, Michael Pollan, The Omnivore's Dilemma, The Penguin Press, →ISBN, page 150:"", ""text"": ""A charge often leveled against organic agriculture is that it is more philosophy than science."", ""type"": ""quotation""}",MERGE,Same learner meaning: an accusation/charge; legal wording is a contextual specification.
cleave:verb:06bbcdfef61b:b90d5075d1e6ab47,25,cleave,verb,,WIK:wiktionary-20260901:m004.3-v1:en:5bdc174aaad3809d86706b9e:content:3a695028f3717fa6645da0e2:1:sense,"Of a crystal, to split along a natural plane of division.",intransitive,,WIK:wiktionary-20260901:m004.3-v1:en:5bdc174aaad3809d86706b9e:content:50f643c97ee783e0ef17d128:1:sense,"To break a single crystal (such as a gemstone or semiconductor wafer) along one of its more symmetrical crystallographic planes (often by impact), forming facets on the resulting pieces.",transitive,,MERGE,Same technical learner meaning: a crystal splitting along a crystallographic plane.
